,coords
0,"Barking, London, Greater London, England, IG11 8NL, United Kingdom"
1,"Barking, London, Greater London, England, IG11 8NL, United Kingdom"
2,"Barking, London, Greater London, England, IG11 8NL, United Kingdom"
3,"Barking, London, Greater London, England, IG11 8NL, United Kingdom"
4,"Barking, London, Greater London, England, IG11 8NL, United Kingdom"
5,"Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3HW, United Kingdom"
6,"Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3HW, United Kingdom"
7,"Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3HW, United Kingdom"
8,"Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3HW, United Kingdom"
9,"Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3HW, United Kingdom"
10,"Putney, London, Greater London, England, SW15 1RG, United Kingdom"
11,"Putney, London, Greater London, England, SW15 1RG, United Kingdom"
12,"Putney, London, Greater London, England, SW15 1RG, United Kingdom"
13,"Putney, London, Greater London, England, SW15 1RG, United Kingdom"
14,"Putney, London, Greater London, England, SW15 1RG, United Kingdom"
15,"Tooting, London, Greater London, England, SW17 0TF, United Kingdom"
16,"Tooting, London, Greater London, England, SW17 0TF, United Kingdom"
17,"Tooting, London, Greater London, England, SW17 0TF, United Kingdom"
18,"Tooting, London, Greater London, England, SW17 0TF, United Kingdom"
19,"Tooting, London, Greater London, England, SW17 0TF, United Kingdom"
20,"Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DZ, United Kingdom"
21,"Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DZ, United Kingdom"
22,"Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DZ, United Kingdom"
23,"Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DZ, United Kingdom"
24,"Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DZ, United Kingdom"
25,"Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom"
26,"Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom"
27,"Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom"
28,"Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom"
29,"Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom"
30,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom"
31,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom"
32,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom"
33,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom"
34,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom"
35,"Globe Town Market, Globe Town Market Square, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0RR, United Kingdom"
36,"Globe Town Market, Globe Town Market Square, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0RR, United Kingdom"
37,"Globe Town Market, Globe Town Market Square, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0RR, United Kingdom"
38,"Globe Town Market, Globe Town Market Square, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0RR, United Kingdom"
39,"Globe Town Market, Globe Town Market Square, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0RR, United Kingdom"
40,"Crayford, Stadium Way, Wansunt, Crayford, London Borough of Bexley, London, Greater London, England, DA1 4HR, United Kingdom"
41,"Crayford, Stadium Way, Wansunt, Crayford, London Borough of Bexley, London, Greater London, England, DA1 4HR, United Kingdom"
42,"Crayford, Stadium Way, Wansunt, Crayford, London Borough of Bexley, London, Greater London, England, DA1 4HR, United Kingdom"
43,"Crayford, Stadium Way, Wansunt, Crayford, London Borough of Bexley, London, Greater London, England, DA1 4HR, United Kingdom"
44,"Crayford, Stadium Way, Wansunt, Crayford, London Borough of Bexley, London, Greater London, England, DA1 4HR, United Kingdom"
45,"Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom"
46,"Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom"
47,"Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom"
48,"Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom"
49,"Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom"
50,"Old Farm Park, Halfway Street, Longlands, London Borough of Bexley, London, Greater London, England, United Kingdom"
51,"Old Farm Park, Halfway Street, Longlands, London Borough of Bexley, London, Greater London, England, United Kingdom"
52,"Old Farm Park, Halfway Street, Longlands, London Borough of Bexley, London, Greater London, England, United Kingdom"
53,"Old Farm Park, Halfway Street, Longlands, London Borough of Bexley, London, Greater London, England, United Kingdom"
54,"Old Farm Park, Halfway Street, Longlands, London Borough of Bexley, London, Greater London, England, United Kingdom"
55,"North Wembley, East Lane, North Wembley, London Borough of Brent, London, Greater London, England, HA9 7NT, United Kingdom"
56,"North Wembley, East Lane, North Wembley, London Borough of Brent, London, Greater London, England, HA9 7NT, United Kingdom"
57,"North Wembley, East Lane, North Wembley, London Borough of Brent, London, Greater London, England, HA9 7NT, United Kingdom"
58,"North Wembley, East Lane, North Wembley, London Borough of Brent, London, Greater London, England, HA9 7NT, United Kingdom"
59,"North Wembley, East Lane, North Wembley, London Borough of Brent, London, Greater London, England, HA9 7NT, United Kingdom"
60,"Isleworth, Hounslow, London, Greater London, England, TW7 7EL, United Kingdom"
61,"Isleworth, Hounslow, London, Greater London, England, TW7 7EL, United Kingdom"
62,"Isleworth, Hounslow, London, Greater London, England, TW7 7EL, United Kingdom"
63,"Isleworth, Hounslow, London, Greater London, England, TW7 7EL, United Kingdom"
